participant,task,technique,question,score
12,select,force,frustration,11
12,select,system,mental,5
12,select,system,physical,5
12,select,system,temporal,5
12,select,system,performance,17
12,select,system,effort,5
12,select,system,frustration,5
13,DnD,force,mental,7
13,DnD,force,physical,11
13,DnD,force,temporal,8
13,DnD,force,performance,11
13,DnD,force,effort,8
13,DnD,force,frustration,5
13,DnD,system,mental,6
13,DnD,system,physical,11
13,DnD,system,temporal,8
13,DnD,system,performance,14
13,DnD,system,effort,7
13,DnD,system,frustration,5
13,select,force,mental,4
13,select,force,physical,7
13,select,force,temporal,7
13,select,force,performance,13
13,select,force,effort,9
13,select,force,frustration,4
13,select,system,mental,5
13,select,system,physical,7
13,select,system,temporal,7
13,select,system,performance,3
13,select,system,effort,9
13,select,system,frustration,5
14,DnD,force,mental,5
14,DnD,force,physical,1
14,DnD,force,temporal,20
14,DnD,force,performance,20
14,DnD,force,effort,5
14,DnD,force,frustration,1
14,DnD,system,mental,5
14,DnD,system,physical,20
14,DnD,system,temporal,1
14,DnD,system,performance,1
14,DnD,system,effort,17
14,DnD,system,frustration,17
14,select,force,mental,4
14,select,force,physical,1
14,select,force,temporal,1
14,select,force,performance,17
14,select,force,effort,3
14,select,force,frustration,1
14,select,system,mental,10
14,select,system,physical,3
14,select,system,temporal,16
14,select,system,performance,10
14,select,system,effort,6
14,select,system,frustration,10
15,DnD,force,mental,14
15,DnD,force,physical,8
15,DnD,force,temporal,16
15,DnD,force,performance,13
15,DnD,force,effort,13
15,DnD,force,frustration,9
15,DnD,system,mental,17
15,DnD,system,physical,5
15,DnD,system,temporal,18
15,DnD,system,performance,8
15,DnD,system,effort,16
15,DnD,system,frustration,14
15,select,force,mental,11
15,select,force,physical,8
15,select,force,temporal,17
15,select,force,performance,16
15,select,force,effort,13
15,select,force,frustration,7
15,select,system,mental,14
15,select,system,physical,9
15,select,system,temporal,13
15,select,system,performance,12
15,select,system,effort,14
15,select,system,frustration,8
