id,imgfilename,imgtimestamp,imgfps,emotionapi,participant,block,calm,surprise,joy,others
158,neutral-1fp2s-158.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.4,0.45,0.13,0.02
159,neutral-1fp2s-159.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.05,0.36,0.36,0.22
160,neutral-1fp2s-160.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.46,0.02,0.38,0.13
161,neutral-1fp2s-161.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.04,0.34,0.56,0.07
162,neutral-1fp2s-162.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.36,0.16,0.33,0.15
163,neutral-1fp2s-163.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.41,0.08,0.3,0.22
164,neutral-1fp2s-164.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.25,0.22,0.46,0.08
165,neutral-1fp2s-165.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.4,0.22,0.16,0.22
166,neutral-1fp2s-166.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.1,0.4,0.07,0.43
167,neutral-1fp2s-167.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.2,0.32,0.1,0.38
168,neutral-1fp2s-168.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.12,0.23,0.25,0.41
169,neutral-1fp2s-169.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.22,0.15,0.37,0.26
170,neutral-1fp2s-170.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.36,0.15,0.09,0.41
171,neutral-1fp2s-171.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.01,0.06,0.25,0.68
172,neutral-1fp2s-172.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.32,0.11,0.33,0.24
173,neutral-1fp2s-173.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.24,0.2,0.26,0.3
174,neutral-1fp2s-174.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.31,0.26,0.34,0.1
175,neutral-1fp2s-175.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.37,0.02,0.34,0.27
176,neutral-1fp2s-176.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.39,0.23,0.32,0.06
177,neutral-1fp2s-177.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.25,0.36,0.38,0
178,neutral-1fp2s-178.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.43,0.4,0.17,0
179,neutral-1fp2s-179.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.38,0.38,0.14,0.1
180,neutral-1fp2s-180.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.49,0.1,0.12,0.29
181,neutral-1fp2s-181.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.26,0.14,0.27,0.33
182,neutral-1fp2s-182.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.21,0.35,0.17,0.28
183,neutral-1fp2s-183.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.11,0.24,0.3,0.35
184,neutral-1fp2s-184.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.08,0.45,0.4,0.07
185,neutral-1fp2s-185.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.38,0.07,0.24,0.31
186,neutral-1fp2s-186.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.15,0.15,0.32,0.38
187,neutral-1fp2s-187.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.22,0.43,0.22,0.14
188,neutral-1fp2s-188.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.27,0.05,0.37,0.31
189,neutral-1fp2s-189.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.48,0.17,0.1,0.25
190,neutral-1fp2s-190.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.31,0.16,0.26,0.28
191,neutral-1fp2s-191.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.17,0.09,0.59,0.16
192,neutral-1fp2s-192.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.39,0.41,0.19,0.01
193,neutral-1fp2s-193.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.51,0.18,0.2,0.11
194,neutral-1fp2s-194.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.27,0.35,0.12,0.26
195,neutral-1fp2s-195.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.09,0.12,0.5,0.29
196,neutral-1fp2s-196.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.23,0.48,0.02,0.27
197,neutral-1fp2s-197.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.16,0.33,0.3,0.21
198,neutral-1fp2s-198.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.34,0.19,0.22,0.25
199,neutral-1fp2s-199.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.79,0.09,0.02,0.1
200,neutral-1fp2s-200.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.01,0.26,0.37,0.35
201,neutral-1fp2s-201.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.36,0.18,0.28,0.18
202,neutral-1fp2s-202.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.32,0.22,0.29,0.17
203,neutral-1fp2s-203.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.13,0.25,0.27,0.35
204,neutral-1fp2s-204.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.19,0.4,0.25,0.16
205,neutral-1fp2s-205.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.27,0.31,0.2,0.22
206,neutral-1fp2s-206.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.21,0.28,0.2,0.31
207,neutral-1fp2s-207.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.13,0.12,0.39,0.35
208,neutral-1fp2s-208.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.37,0.1,0.33,0.19
209,neutral-1fp2s-209.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.28,0.18,0.18,0.37
210,neutral-1fp2s-210.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.39,0.19,0.09,0.33
211,neutral-1fp2s-211.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.51,0.03,0.14,0.32
212,neutral-1fp2s-212.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.2,0.03,0.31,0.46
213,neutral-1fp2s-213.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.36,0.12,0.15,0.38
214,neutral-1fp2s-214.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.1,0.38,0.26,0.27
215,neutral-1fp2s-215.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.31,0.12,0.25,0.32
216,neutral-1fp2s-216.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.12,0.49,0.15,0.24
217,neutral-1fp2s-217.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.03,0.4,0.3,0.28
218,neutral-1fp2s-218.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.55,0.08,0.04,0.33
219,neutral-1fp2s-219.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.13,0.18,0.28,0.4
220,neutral-1fp2s-220.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.32,0.28,0.23,0.17
221,neutral-1fp2s-221.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.07,0.27,0.25,0.41
222,neutral-1fp2s-222.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.26,0.2,0.17,0.36
223,neutral-1fp2s-223.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.06,0.35,0.14,0.45
224,neutral-1fp2s-224.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.09,0.31,0.34,0.26
225,neutral-1fp2s-225.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.2,0.36,0.22,0.22
226,neutral-1fp2s-226.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.29,0.09,0.37,0.25
227,neutral-1fp2s-227.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.25,0.01,0.26,0.48
228,neutral-1fp2s-228.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.23,0.17,0.17,0.44
229,neutral-1fp2s-229.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.05,0.18,0.23,0.54
230,neutral-1fp2s-230.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.16,0.29,0.38,0.16
231,neutral-1fp2s-231.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.33,0.19,0.3,0.18
232,neutral-1fp2s-232.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.32,0.05,0.16,0.47
233,neutral-1fp2s-233.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.19,0.31,0.2,0.29
234,neutral-1fp2s-234.jpg,imgtimestamp,1fp2s,ms-emotion,1,1,0.31,0.02,0.05,0.62
